,Cezanne,Degas,Gauguin,Hassam,Matisse,Monet,Pissarro,Renoir,Sargent,VanGogh,accuracy,macro avg,weighted avg
precision,0.25806451612903225,0.3902439024390244,0.34375,0.24571428571428572,0.423728813559322,0.34375,0.39823008849557523,0.4017094017094017,0.47619047619047616,0.3652173913043478,0.35454545454545455,0.3646598875541466,0.36465988755414647
recall,0.16161616161616163,0.16161616161616163,0.4444444444444444,0.43434343434343436,0.25252525252525254,0.3333333333333333,0.45454545454545453,0.47474747474747475,0.40404040404040403,0.42424242424242425,0.35454545454545455,0.35454545454545455,0.35454545454545455
f1-score,0.19875776397515527,0.2285714285714286,0.3876651982378854,0.3138686131386862,0.3164556962025316,0.3384615384615385,0.42452830188679247,0.4351851851851852,0.4371584699453551,0.3925233644859813,0.35454545454545455,0.34731755600905395,0.34731755600905395
support,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.35454545454545455,990.0,990.0
